# Recipe Format - Auto-generated from G-code
# X,Z,F,CMD
# CMD: 0=G0(Rapid), 1=G1(Linear), 10=ToolChange, 99=End
#
X,Z,F,CMD
# --- Guvenli Z ---
0.000,-150.000,0,0
# --- Guvenli X ---
300.000,-150.000,0,0
# --- Tool Change ---
200.162,223.438,300,1
201.289,223.157,300,1
202.406,222.867,300,1
203.514,222.571,300,1
204.610,222.268,300,1
205.692,221.960,300,1
206.761,221.648,300,1
207.813,221.331,300,1
208.848,221.013,300,1
209.865,220.692,300,1
210.862,220.370,300,1
211.837,220.048,300,1
# --- Retract ---
261.837,170.048,0,0
176.837,183.062,0,0
176.370,183.977,300,1
175.898,184.915,300,1
175.424,185.874,300,1
174.947,186.853,300,1
174.468,187.851,300,1
173.989,188.868,300,1
173.509,189.903,300,1
173.029,190.954,300,1
172.550,192.020,300,1
172.073,193.102,300,1
171.598,194.197,300,1
171.127,195.305,300,1
170.659,196.424,300,1
170.195,197.555,300,1
169.737,198.695,300,1
169.284,199.844,300,1
168.838,201.001,300,1
168.399,202.166,300,1
167.968,203.336,300,1
167.545,204.512,300,1
167.132,205.691,300,1
166.728,206.874,300,1
166.335,208.059,300,1
165.954,209.246,300,1
165.584,210.432,300,1
165.227,211.618,300,1
164.884,212.803,300,1
164.554,213.985,300,1
164.239,215.164,300,1
163.940,216.338,300,1
163.656,217.507,300,1
163.390,218.669,300,1
163.141,219.824,300,1
162.910,220.971,300,1
162.698,222.109,300,1
162.505,223.237,300,1
162.333,224.353,300,1
162.181,225.458,300,1
162.052,226.549,300,1
161.944,227.627,300,1
161.859,228.690,300,1
161.798,229.736,300,1
161.762,230.766,300,1
161.750,231.778,300,1
161.764,232.772,300,1
161.805,233.746,300,1
161.872,234.699,300,1
161.967,235.630,300,1
162.091,236.539,300,1
162.244,237.425,300,1
162.427,238.286,300,1
162.640,239.121,300,1
162.885,239.931,300,1
163.161,240.713,300,1
163.470,241.466,300,1
163.812,242.191,300,1
164.188,242.885,300,1
164.599,243.548,300,1
165.045,244.179,300,1
165.527,244.778,300,1
166.046,245.342,300,1
166.602,245.871,300,1
167.196,246.364,300,1
167.829,246.821,300,1
168.499,247.241,300,1
169.205,247.627,300,1
169.946,247.978,300,1
170.719,248.296,300,1
171.525,248.581,300,1
172.360,248.835,300,1
173.225,249.057,300,1
174.118,249.250,300,1
175.036,249.413,300,1
175.979,249.548,300,1
176.946,249.656,300,1
177.934,249.736,300,1
178.944,249.792,300,1
179.972,249.822,300,1
181.018,249.828,300,1
182.080,249.811,300,1
183.158,249.771,300,1
184.249,249.710,300,1
185.352,249.629,300,1
186.466,249.527,300,1
187.589,249.407,300,1
188.720,249.268,300,1
189.858,249.113,300,1
191.001,248.940,300,1
192.147,248.753,300,1
193.296,248.550,300,1
194.446,248.334,300,1
195.596,248.105,300,1
196.744,247.863,300,1
197.888,247.610,300,1
199.028,247.347,300,1
200.162,247.074,300,1
201.289,246.793,300,1
202.406,246.503,300,1
203.514,246.207,300,1
204.610,245.904,300,1
205.692,245.596,300,1
206.761,245.284,300,1
207.813,244.968,300,1
208.848,244.649,300,1
209.865,244.328,300,1
210.862,244.006,300,1
211.837,243.684,300,1
# --- Retract ---
261.837,193.684,0,0
176.837,206.699,0,0
176.370,207.614,300,1
175.898,208.551,300,1
175.424,209.510,300,1
174.947,210.489,300,1
174.468,211.487,300,1
173.989,212.504,300,1
173.509,213.539,300,1
173.029,214.590,300,1
172.550,215.657,300,1
172.073,216.738,300,1
171.598,217.833,300,1
171.127,218.941,300,1
170.659,220.061,300,1
170.195,221.191,300,1
169.737,222.331,300,1
169.284,223.481,300,1
168.838,224.638,300,1
168.399,225.802,300,1
167.968,226.972,300,1
167.545,228.148,300,1
167.132,229.328,300,1
166.728,230.510,300,1
166.335,231.695,300,1
165.954,232.882,300,1
165.584,234.069,300,1
165.227,235.255,300,1
164.884,236.439,300,1
164.554,237.621,300,1
164.239,238.800,300,1
163.940,239.974,300,1
163.656,241.143,300,1
163.390,242.306,300,1
163.141,243.461,300,1
162.910,244.608,300,1
162.698,245.746,300,1
162.505,246.873,300,1
162.333,247.990,300,1
162.181,249.094,300,1
162.052,250.186,300,1
161.944,251.263,300,1
161.859,252.326,300,1
161.798,253.373,300,1
161.762,254.403,300,1
161.750,255.415,300,1
161.764,256.408,300,1
161.805,257.382,300,1
161.872,258.335,300,1
161.967,259.267,300,1
162.091,260.176,300,1
162.244,261.061,300,1
162.427,261.922,300,1
162.640,262.758,300,1
162.885,263.567,300,1
163.161,264.349,300,1
163.470,265.103,300,1
163.812,265.827,300,1
164.188,266.522,300,1
164.599,267.185,300,1
165.045,267.816,300,1
165.527,268.414,300,1
166.046,268.978,300,1
166.602,269.507,300,1
167.196,270.000,300,1
167.829,270.457,300,1
168.499,270.878,300,1
169.205,271.263,300,1
169.946,271.614,300,1
170.719,271.932,300,1
171.525,272.217,300,1
172.360,272.471,300,1
173.225,272.693,300,1
174.118,272.886,300,1
175.036,273.049,300,1
175.979,273.184,300,1
176.946,273.292,300,1
177.934,273.373,300,1
178.944,273.428,300,1
179.972,273.458,300,1
181.018,273.464,300,1
182.080,273.447,300,1
183.158,273.408,300,1
184.249,273.347,300,1
185.352,273.265,300,1
186.466,273.164,300,1
187.589,273.043,300,1
188.720,272.905,300,1
189.858,272.749,300,1
191.001,272.577,300,1
192.147,272.389,300,1
193.296,272.187,300,1
194.446,271.970,300,1
195.596,271.741,300,1
196.744,271.500,300,1
197.888,271.247,300,1
199.028,270.984,300,1
200.162,270.711,300,1
201.289,270.429,300,1
202.406,270.140,300,1
203.514,269.843,300,1
204.610,269.541,300,1
205.692,269.233,300,1
206.761,268.920,300,1
207.813,268.604,300,1
208.848,268.285,300,1
209.865,267.964,300,1
210.862,267.643,300,1
211.837,267.321,300,1
# --- Retract ---
261.837,217.321,0,0
# --- Retract X ---
300.000,217.321,0,0
# --- Home Z ---
300.000,-150.000,0,0
145.734,9.410,0,0
145.750,11.000,300,1
145.750,12.000,300,1
145.750,13.000,300,1
145.750,14.000,300,1
145.750,15.000,300,1
145.750,16.000,300,1
145.750,17.000,300,1
145.750,18.000,300,1
145.750,19.000,300,1
145.750,20.000,300,1
145.750,21.000,300,1
145.750,22.000,300,1
145.750,23.000,300,1
145.750,24.000,300,1
145.750,25.000,300,1
145.750,26.000,300,1
145.750,27.000,300,1
145.750,28.000,300,1
145.750,29.000,300,1
145.750,30.000,300,1
145.750,31.000,300,1
145.750,32.000,300,1
145.750,33.000,300,1
145.750,34.000,300,1
145.750,35.000,300,1
145.750,36.000,300,1
145.750,37.000,300,1
145.750,38.000,300,1
145.750,39.000,300,1
145.750,40.000,300,1
145.750,41.000,300,1
145.750,42.000,300,1
145.750,43.000,300,1
145.750,44.000,300,1
145.750,45.000,300,1
145.750,46.000,300,1
145.750,47.000,300,1
145.750,48.000,300,1
145.750,49.000,300,1
145.750,50.000,300,1
145.750,51.000,300,1
145.750,52.000,300,1
145.750,53.000,300,1
145.750,54.000,300,1
145.750,55.000,300,1
145.750,56.000,300,1
145.750,57.000,300,1
145.750,58.000,300,1
145.750,59.000,300,1
145.750,60.000,300,1
145.750,61.000,300,1
145.750,62.000,300,1
145.750,63.000,300,1
145.750,64.000,300,1
145.750,65.000,300,1
145.750,66.000,300,1
145.750,67.000,300,1
145.750,68.000,300,1
145.750,69.000,300,1
145.750,70.000,300,1
145.750,71.000,300,1
145.750,72.000,300,1
145.750,73.000,300,1
145.750,74.000,300,1
145.750,75.000,300,1
145.750,76.000,300,1
145.750,77.000,300,1
145.750,78.000,300,1
145.750,79.000,300,1
145.750,80.000,300,1
145.750,81.000,300,1
145.750,82.000,300,1
145.750,83.000,300,1
145.750,84.000,300,1
145.750,85.000,300,1
145.750,86.000,300,1
145.750,87.000,300,1
145.750,88.000,300,1
145.750,89.000,300,1
145.750,90.000,300,1
145.750,91.000,300,1
145.750,92.000,300,1
145.750,93.000,300,1
145.750,94.000,300,1
145.750,95.000,300,1
145.750,96.000,300,1
145.750,97.000,300,1
145.750,98.000,300,1
145.750,99.000,300,1
145.750,100.000,300,1
145.750,101.000,300,1
145.750,102.000,300,1
145.750,103.000,300,1
145.750,104.000,300,1
145.750,105.000,300,1
145.750,106.000,300,1
145.750,107.000,300,1
145.750,108.000,300,1
145.750,109.000,300,1
145.750,110.000,300,1
145.750,111.000,300,1
145.750,112.000,300,1
145.750,113.000,300,1
145.750,114.000,300,1
145.750,115.000,300,1
145.750,116.000,300,1
145.750,117.000,300,1
145.750,118.000,300,1
145.750,119.000,300,1
145.750,120.000,300,1
145.750,121.000,300,1
145.750,122.000,300,1
145.750,123.000,300,1
145.750,124.000,300,1
145.750,125.000,300,1
145.750,126.000,300,1
145.750,127.000,300,1
145.750,128.000,300,1
145.750,129.000,300,1
145.750,130.000,300,1
145.750,131.000,300,1
145.750,132.000,300,1
145.750,133.000,300,1
145.750,134.000,300,1
145.750,135.000,300,1
145.750,136.000,300,1
145.750,137.000,300,1
145.750,138.000,300,1
145.750,139.000,300,1
145.750,140.000,300,1
145.750,141.000,300,1
145.750,142.000,300,1
145.750,143.000,300,1
145.750,144.000,300,1
145.750,145.000,300,1
145.750,146.000,300,1
145.750,147.000,300,1
145.750,148.000,300,1
145.750,149.000,300,1
145.750,150.000,300,1
145.750,151.000,300,1
145.750,152.000,300,1
145.750,153.000,300,1
145.750,154.000,300,1
145.750,155.000,300,1
145.750,156.000,300,1
145.750,157.000,300,1
145.750,158.000,300,1
145.750,159.000,300,1
145.750,160.000,300,1
145.750,161.000,300,1
145.750,162.000,300,1
145.750,163.000,300,1
145.750,164.000,300,1
145.750,165.000,300,1
145.750,166.000,300,1
145.750,167.000,300,1
145.750,168.000,300,1
145.750,169.000,300,1
145.750,170.000,300,1
145.750,171.000,300,1
145.750,172.000,300,1
145.750,173.000,300,1
145.750,174.000,300,1
145.750,175.000,300,1
145.750,176.000,300,1
145.750,177.000,300,1
145.750,178.000,300,1
145.750,179.000,300,1
145.750,180.000,300,1
145.750,181.000,300,1
145.750,182.000,300,1
145.750,183.000,300,1
145.750,184.000,300,1
145.750,185.000,300,1
145.750,186.000,300,1
145.750,187.000,300,1
145.750,188.000,300,1
145.750,189.000,300,1
145.750,190.000,300,1
145.750,191.000,300,1
145.750,192.000,300,1
145.750,193.000,300,1
145.750,194.000,300,1
145.750,195.000,300,1
145.750,196.000,300,1
145.750,197.000,300,1
145.750,198.000,300,1
145.750,199.000,300,1
145.750,200.000,300,1
145.750,201.000,300,1
145.750,202.000,300,1
145.750,203.000,300,1
145.750,204.000,300,1
145.750,205.000,300,1
145.750,206.000,300,1
145.750,207.000,300,1
145.750,208.000,300,1
145.750,209.000,300,1
145.750,210.000,300,1
145.750,211.000,300,1
145.750,212.000,300,1
145.750,213.000,300,1
145.750,214.000,300,1
145.750,215.000,300,1
145.750,216.000,300,1
145.750,217.000,300,1
145.750,218.000,300,1
145.750,219.000,300,1
145.750,220.000,300,1
145.750,221.000,300,1
145.750,222.000,300,1
145.750,223.000,300,1
145.750,224.000,300,1
145.750,225.000,300,1
145.750,226.000,300,1
145.750,227.000,300,1
145.750,228.000,300,1
145.750,229.000,300,1
145.750,230.000,300,1
145.750,231.000,300,1
145.750,232.000,300,1
145.750,233.000,300,1
145.750,234.000,300,1
145.750,235.000,300,1
145.750,236.000,300,1
145.750,237.000,300,1
145.750,238.000,300,1
145.750,239.000,300,1
145.750,240.000,300,1
145.750,241.000,300,1
145.750,242.000,300,1
145.750,243.000,300,1
145.750,244.000,300,1
145.750,245.000,300,1
145.750,246.000,300,1
145.750,247.000,300,1
145.750,248.000,300,1
145.750,249.000,300,1
145.750,250.000,300,1
145.750,251.000,300,1
145.750,252.000,300,1
145.750,253.000,300,1
145.750,254.000,300,1
145.750,255.000,300,1
145.750,256.000,300,1
145.750,257.000,300,1
145.750,258.000,300,1
145.750,259.000,300,1
145.750,260.000,300,1
145.750,261.000,300,1
145.750,262.000,300,1
145.750,263.000,300,1
145.750,264.000,300,1
145.750,265.000,300,1
145.750,266.000,300,1
145.750,267.000,300,1
145.750,268.000,300,1
145.750,269.000,300,1
# --- Retract ---
195.750,219.000,0,0
300.000,219.000,0,0
300.000,-150.000,0,0
# --- Program End ---
0.000,0.000,0,99
